nombre-comun,nombre-cientifico,region,habitat,medida
"""Jilguero""","""Carduelis barbata""","""Entre la Región de Atacama y la Región del Biobío""","costa, pradera, pastizales y bosque","""12 - 13 cm."""
"""Jilguero Cordillerano""","""Carduelis uropygialis""","""Entre la Región del Biobío y la Región de Magallanes""",cordillera,"""12 - 13 cm."""
"""Martín Pescador""","""Ceryle torquata""","""Entre la Región de Arica y Parinacota y la Región de Magallanes""",costa,"""38 - 42 cm."""
"""Mirlo""","""Molothrus bonariensis""","""Entre la Región de Arica y Parinacota y la Región de Valparaíso""","costa, pradera, pastizales y bosque","""17 - 22 cm."""
"""Rara""","""Phytotoma rara""","""Entre la Región de Atacama y la Región de Magallanes""","arbustos, pradera y bosques","""18 - 20 cm."""
"""Tiuque""","""Milvago chimango""","""Entre la Región de Arica y Parinacota y la Región de Magallanes""","costa, pradera, pastizales y bosque","""32 - 43 cm."""
"""Traro o Carancho Común""","""Caracara plancus""","""Entre la Región de Atacama y la Región de Magallanes""","pradera, pastizales y bosque","""50 - 64 cm."""
"""Cachudito"""," ""Anairetes parulus""","""Entre la Región de Antofagasta y la Región de Magallanes""",arbustos y bosque,"""9 - 11 cm."""
"""Chercán""","""Troglodytes musculus""","""Entre la Región de Atacama y la Región de Magallanes""",arbustos y bosque,"""11 - 13 cm."""
"""Gaviota Cáhuil""","""Chroicocephalus maculipennis""","""Entre la Región de Arica y Parinacota y la Región de Magallanes""",costa,"""37 - 42 cm."""
"""Gaviota de Franklin""","""Larus pipixcan""","""Entre la Región de Arica y Parinacota y la Región de Magallanes""",costa,"""32 - 38 cm."""
"""Gaviota Dominicana""","""Larus dominicanus""","""Entre la Región de Arica y Parinacota y la Región de Magallanes""",costa,"""54 - 65 cm."""
"""Gaviota Garuma""","""Larus modestus""","""Entre la Región de Arica y Parinacota y la Región de Aysén""",costa,"""44 - 45 cm."""
"""Lechuza""","""Tyto alba""","""Entre la Región de Arica y Parinacota y la Región de Magallanes""",bosque,"""29 - 44 cm."""
"""Loica""","""Sturnella loyca""","""Entre la Región de Atacama y la Región de Magallanes""","costa, pradera y pastizales","""26 - 28 cm."""
"""Pitío""","""Colaptes pitius""","""Entre la Región de Atacama y la Región de Magallanes""","pradera, bosque y cordillera","""30 - 33 cm."""
"""Albatros de ceja negra""","""Thalassarche melanophrys""","""Entre la Región de Arica y Parinacota y la Región de Magallanes""",costa,"""79 -93 cm."""
"""Bailarín""","""Elanus leucurus""","""Entre la Región de Atacama la Región de Los Lagos""",pradera y pastizales,"""35 - 43 cm."""
"""Albatros errante""","""Diomedea exulans""", Región de Antofagasta hasta la Región de Magallanes y de la Antártica Chilena,costa,"""107 - 135 cm."""
"""Canastero común""","""Asthenes humicola""","""Entre la Región de Antofagasta y la Región de La Araucanía""","bosque, arbustos y praderas","""14 - 15 cm."""
"""Chorlito Cordillerano""","""Phegornis mitchellii""","""Entre la Región de Arica y Parinacota y la Región del Maule""",cordillera,"""16 -19 cm."""
"""Churrete Costero""","""Cinclodes nigrofumosus""","""Entre la Región de Arica y Parinacota y la Región de Los Ríos""",costa,"""21 - 27 cm."""
"""Cisne de cuello negro""","""Cygnus melancoryphus""","""Entre la Región de Atacama y la Región de Magallanes""",costa,"""102 - 124 cm."""
"""Codorniz""","""Callipela californica""","""Entre la Región de Coquimbo y la Región de Los Lagos""",arbustos y praderas,"""23 - 27 cm."""
"""Cometocino del Norte""","""Phrygilus atriceps""","""Entre la Región de Tarapacá y la Región de Coquimbo""",costa y altiplano,"""15 - 16 cm."""
"""Cometocino patagónico""","""Phrygilus patagonicus""","""Entre la Región de Coquimbo y la Región de Magallanes""",bosque y arbustos,"""14 - 16 cm."""
"""Concón""","""Strix rufipes""","""Entre la Región de Valparaíso y la Región de Magallanes""",bosque,"""33 - 38 cm."""
"""Diuca""","""Diuca diuca""","""Entre la Región de Coquimbo y la Región de Magallanes""",arbustos y praderas,"""16 - 18 cm."""
"""Fío-Fío""","""Elaenia albiceps""","""Entre la Región de Arica y Parinacota y la Región de Magallanes""","bosques, arbustos y praderas","""14 - 15 cm."""
"""Gallina Ciega""","""Caprimulgus longirostris""","""Entre la Región de Arica y Parinacota y la Región de Magallanes""",bosques y arbustos,"""20 - 27 cm."""
"""Garza Chica""","""Egretta thula""","""Entre la Región de Arica y Parinacota y la Región de Los Lagos""",costa,"""48 - 68 cm."""
"""Gorrión""","""Passer domesticus""","""Entre la Región de Arica y Parinacota y la Región de Magallanes""",pradera y pastizales,"""14 - 18 cm."""
"""Huairavo común""","""Nycticorax nycticorax""","""Entre la Región de Arica y Parinacota y la Región de Magallanes""",costa y arbustos,"""56 - 65 cm."""
"""Hued-hued del Sur""","""Pteroptochos tarnii""","""Entre la Región del Biobío y la Región de Magallanes""",bosque,"""23 - 24 cm."""
"""Loro Choroy""","""Enicognathus leptorhynchus""","""Entre la Región de Valparaíso y la Región de Aysén""",bosque y costa,"""40 - 41 cm."""
"""Loro Tricahue""","""Cyanoliseus patagonus""","""En las Regiones de Atacama",cordillera y pastizales,"""39 - 52 cm."""
"""Pato Anteojillo""","""Speculanas specularis""","""Entre la Región de Valparaíso y la Región de Magallanes""",costa,"""46 - 54 cm."""
"""Pato Cortacorrientes""","""Merganetta armata""","""Entre la Región de Atacama y la Región de Magallanes""",costa,"""40 - 46 cm."""
"""Pato Cuchara""","""Anas platalea""","""Entre la Región de Coquimbo y la Región de Magallanes""",costa,"""45 - 56 cm."""
"""Pato Gargantillo""","""Anas bahamensis""","""Entre la Región de Arica y Parinacota y la Región de Magallanes""",costa,"""38 - 51 cm."""
"""Pato Jergón Grande""","""Anas georgica""","""Entre la Región de Arica y Parinacota y la Región de Magallanes""",costa,"""41 - 55 cm."""
"""Pato Juarjual""","""Lophonetta specularioides""","""Entre la Región de Tarapacá y la Región de Magallanes""",costa,"""51 - 61 cm."""
"""Pato Rana de Pico Ancho""","""Oxyura ferruginea (jamaicensis)""","""Entre la Región de Tarapacá y la Región de Magallanes""",costa,"""45 - 48 cm."""
"""Pato Rana de Pico Delgado""","""Oxyura vittata""","""Entre la Región de Tarapacá y la Región de Magallanes""",costa,"""36 - 46 cm."""
"""Pato Real""","""Anas sibilatrix""","""Entre la Región de Atacama y la Región de Magallanes""",costa,"""43 - 54 cm"""
"""Pato Rinconero""","""Heteronetta atricapilla""","""Entre la Región de Coquimbo y la Región de Los Lagos""",costa,"""35 - 43 cm."""
"""Pelícano Común""","""Pelecanus thagus""","""Entre la Región de Arica y Parinacota y la Región de Aysén""",costa,"""137–152 cm."""
"""Pequén""","""Athene cunicularia""","""Entre la Región de Arica y Parinacota y la Región de Aysén""",pradera y pastizales,"""19 - 26 cm."""
"""Perdiz chilena""","""Nothoprocta perdicaria""","""Entre la Región de Atacama y la Región de Los Lagos""",arbustos y praderas,"""29 - 32 cm."""
"""Picaflor Chico""","""Sephanoides sephanoides""","""Entre la Región de Antofagasta y la Región de Magallanes""","pradera, pastizales y bosques",""".10 - 11 cm."""
"""Picaflor del Norte""","""Rhodopis vesper""","""Entre la Región de Arica y Parinacota y la Región de Coquimbo""",pradera y pastizales,"""13 - 14 cm."""
"""Picaflor Gigante""","""Patagonas gigas""","""Entre la Región de Arica y Parinacota y la Región de La Araucanía""","pradera, pastizales y bosques","""20 - 22 cm."""
"""Pidén""","""Pardirallus sanguinolentus""","""Entre la Región de Arica y Parinacota y la Región de Magallanes""",costa,"""30 - 38 cm."""
"""Pingüino de Magallanes""","""Spheniscus magellanicus""","""Entre la Región de Atacama y la Región de Magallanes""",costa,"""70 - 76 cm."""
"""Pingüino de Penacho Amarillo""","""Eudyptes chrysocome""","""Entre la Región de Aysén y la Región de Magallanes""",costa,"""51 - 62 cm."""
"""Pingüino Emperador""","""Aptenodytes forsteri""","""En la Antártica Chilena""",costa,"""112 - 115 cm."""
"""Pingüino Rey""","""Aptenodytes patagonicus""","""En la Región de Magallanes y la Antártica Chilena""",costa,"""94 - 95 cm."""
"""Playero de Baird""","""Calidris bairdii""","""Entre la Región de Arica y Parinacota y la Región de Magallanes""",costa,"""15 -18 cm."""
"""Playero grande""","""Tringa semipalmata""","""Entre la Región de Arica y Parinacota y la Región de La Araucanía""",costa,"""33 - 41 cm."""
"""Queltehue / Treile""","""Vanellus chilensis""","""Entre la Región de Antofagasta y la Región de Magallanes""",costa y pradera,"""32 - 38 cm."""
"""Rayador""","""Rynchops niger""","""Entre la Región de Arica y Parinacota y la Región de Los Lagos""",costa,"""41 - 46 cm."""
"""Sietecolores""","""Tachuris rubrigastra""","""Entre la Región de Atacama y la Región de Aysén""",costa,"""11 - 12 cm."""
"""Tenca""","""Mimus tenca""","""Entre la Región de Atacama y la Región de Los Lagos""","praderas, pastizales y arbustos","""28 - 29 cm."""
"""Tordo""","""Curaeus curaeus""","""Entre la Región de Atacama y la Región de Magallanes""","praderas, pastizales y arbustos","""24 - 26 cm."""
"""Tortolita Cordillerana""","""Metriopelia melanoptera""","""Entre la Región de Arica y Parinacota y la Región de Magallanes""",cordillera,"""21 - 23 cm."""
"""Tucúquere""","""Bubo magellanicus""","""Entre la Región de Arica y Parinacota y la Región de Magallanes""",bosque,"""45 cm."""
"""Turca""","""Pteroptochos megapodius""","""Entre la Región de Coquimbo y la Región del Biobío.""",cordillera,"""22 - 24 cm."""
"""Zarapito común""","""Numenius phaeopus""","""Entre la Región de Arica y Parinacota y la Región de Magallanes""",costa,"""40 - 46 cm."""
"""Zorzal""","""Turdus falcklandii""","""Entre la Región de Antofagasta y la Región de Magallanes""","praderas, pastizales y arbustos","""23 - 27 cm."""
"""Gaviota Peruana""","""Larus belcheri""","""Entre la Región de Arica y Parinacota y la Región de Coquimbo""",costa,"""45 - 54 cm."""
"""Gaviotín Boreal""","""Sterna hirundo""","""Entre la Región de Arica y Parinacota y la Región de Valparaíso""",costa,"""32 - 39 cm."""
"""Pilpilén""","""Haematopus palliatus""","""Entre la Región de Arica y Parinacota y la Región de Magallanes""",costa,"""40 - 44 cm."""
"""Pilpilén Negro""","""Haematopus ater""","""Entre la Región de Atacama y la Región de Magallanes""",costa,"""43 - 46 cm."""
"""Pingüino Macaroni""","""Eudyptes chrysolophus""","""En la Región de Magallanes y la Antártica Chilena""",costa,"""70 - 72 cm."""
